Date Run,Date/Time Run,Location,Date Published,Total Cases,Total Deaths,Count Cases Black/AA,Count Deaths Black/AA,Pct Cases Black/AA,Pct Deaths Black/AA,Pct Includes Unknown Race,Pct Includes Hispanic Black,Count Cases Known Race,Count Deaths Known Race,Black/AA Population,Pct Black/AA Population,Status code
2021-02-03,2021/02/03 17:11:34America/Los Angeles TZ,Alabama,2021-02-03,365818.0,6529.0,76742.0,1852.0,29.16,31.13,False,False,263192.0,5950.0,1293186.0,26.58,Success!
2021-02-03,2021/02/03 17:11:34America/Los Angeles TZ,Alaska,2021-02-03,43837.0,276.0,1323.0,9.0,3.05,3.26,False,True,43327.0,276.0,24129.0,3.27,Success!
2021-02-03,2021/02/03 17:11:34America/Los Angeles TZ,Arizona,2021-02-03,767379.0,13576.0,23078.0,357.0,3.76,2.85,False,False,613982.0,12528.0,305259.0,4.39,Success!
2021-02-03,2021/02/03 17:11:34America/Los Angeles TZ,Arkansas,2021-02-03,300430.0,4985.0,47411.0,694.0,18.04,14.92,False,True,262883.0,4651.0,460970.0,15.41,Success!
2021-02-03,2021/02/03 17:11:34America/Los Angeles TZ,California,2021-02-02 00:00:00,3281271.0,41811.0,100486.0,2571.0,4.02,6.4,False,False,2498867.0,40147.0,2267875.0,5.79,Success!
2021-02-03,2021/02/03 17:11:34America/Los Angeles TZ,Colorado,2021-02-03,399267.0,5664.0,11499.0,185.0,3.81,3.49,False,False,301686.0,5295.0,227938.0,4.12,Success!
2021-02-03,2021/02/03 17:11:34America/Los Angeles TZ,Connecticut,2021-02-02,241353.0,5839.0,17723.0,872.0,7.34,14.93,True,False,,,378262.0,10.56,Success!
2021-02-03,2021/02/03 17:11:34America/Los Angeles TZ,Delaware,2021-02-03,78982.0,1130.0,17926.0,255.0,23.92,22.61,False,False,74940.0,1128.0,209892.0,22.11,Success!
2021-02-03,2021/02/03 17:11:34America/Los Angeles TZ,Florida,2021-02-03,1712326.0,27019.0,191979.0,4047.0,11.21,14.98,True,False,,,3316376.0,16.1,Success!
2021-02-03,2021/02/03 17:11:34America/Los Angeles TZ,Georgia,2021-02-03,759228.0,12907.0,195820.0,4477.0,25.79,34.69,True,True,,,3239300.0,31.46,Success!
2021-02-03,2021/02/03 17:11:34America/Los Angeles TZ,Hawaii,,,,,,,,False,False,,,26266.0,1.85,An error occurred. ... Exception('You do not have permissions to access this resource or perform this operation.\n(Error Code: 403)')
2021-02-03,2021/02/03 17:11:34America/Los Angeles TZ,Idaho,2021-02-03,111084.0,1748.0,954.0,9.0,0.86,0.51,False,True,,,11536.0,0.68,Success!
2021-02-03,2021/02/03 17:11:34America/Los Angeles TZ,Illinois,2021-01-29,1120528.0,19138.0,101720.0,3428.0,9.08,17.91,True,False,,,1824125.0,14.23,Success!
2021-02-03,2021/02/03 17:11:34America/Los Angeles TZ,Indiana,2021-02-03,631331.0,9713.0,41940.0,795.0,6.64,8.18,True,True,,,619472.0,9.33,Success!
2021-02-03,2021/02/03 17:11:34America/Los Angeles TZ,Iowa,,,,,,,,False,False,,,109911.0,3.51,"An error occurred. ... TimeoutException('', None, None)"
2021-02-03,2021/02/03 17:11:34America/Los Angeles TZ,Kansas,,,,,,,,False,False,,,169801.0,5.84,An error occurred. ... AssertionError('Date not found.')
2021-02-03,2021/02/03 17:11:34America/Los Angeles TZ,Kentucky,,,,,,,,False,False,,,354112.0,7.98,"An error occurred. ... SSLError(MaxRetryError(""HTTPSConnectionPool(host='chfs.ky.gov', port=443): Max retries exceeded with url: /agencies/dph/covid19/COVID19DailyReport.pdf (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1123)')))""))"
2021-02-03,2021/02/03 17:11:34America/Los Angeles TZ,Louisiana,,,,,,,,False,False,,,1502916.0,32.23,An error occurred. ... Exception('You do not have permissions to access this resource or perform this operation.\n(Error Code: 403)')
2021-02-03,2021/02/03 17:11:34America/Los Angeles TZ,Maine,,,,,,,,False,False,,,17881.0,1.34,An error occurred. ... KeyError('DEATHS')
2021-02-03,2021/02/03 17:11:34America/Los Angeles TZ,Maryland,2021-02-03,357483.0,7043.0,101453.0,2447.0,33.06,34.97,False,False,306833.0,6997.0,1788090.0,29.78,Success!
2021-02-03,2021/02/03 17:11:34America/Los Angeles TZ,Massachusetts,2021-02-03,531117.0,14708.0,32267.0,996.0,6.08,6.77,True,False,,,510558.0,7.48,Success!
2021-02-03,2021/02/03 17:11:34America/Los Angeles TZ,Michigan,2021-02-03,563842.0,14633.0,65692.0,3328.0,11.65,22.74,True,False,,,1375424.0,13.81,Success!
2021-02-03,2021/02/03 17:11:34America/Los Angeles TZ,Minnesota,2021-02-03,463766.0,6234.0,37257.0,303.0,8.03,4.86,True,True,,,342186.0,6.19,Success!
2021-02-03,2021/02/03 17:11:34America/Los Angeles TZ,Mississippi,,,,,,,,False,False,,,1125834.0,37.67,An error occurred. ... ValueError('Cannot convert non-finite values (NA or inf) to integer')
2021-02-03,2021/02/03 17:11:34America/Los Angeles TZ,Missouri,,,,,,,,False,False,,,704896.0,11.57,An error occurred. ... Exception('Token Required\nToken Required\n(Error Code: 499)')
2021-02-03,2021/02/03 17:11:34America/Los Angeles TZ,Montana,,,,,,,,False,False,,,4630.0,0.44,"An error occurred. ... AttributeError(""'NoneType' object has no attribute 'find_parent'"")"
2021-02-03,2021/02/03 17:11:34America/Los Angeles TZ,Nebraska,2021-02-03,192042.0,1931.0,5028.0,56.0,4.41,4.03,False,True,114094.0,1388.0,90860.0,4.77,Success!
2021-02-03,2021/02/03 17:11:34America/Los Angeles TZ,Nevada,,,,,,,,False,False,,,261123.0,8.93,"An error occurred. ... TimeoutException('', None, None)"
2021-02-03,2021/02/03 17:11:34America/Los Angeles TZ,New Hampshire,,,,,,,,False,False,,,20516.0,1.53,"An error occurred. ... AttributeError(""'NoneType' object has no attribute 'find_next'"")"
2021-02-03,2021/02/03 17:11:34America/Los Angeles TZ,New Mexico,2021-02-03,175652.0,3338.0,2134.0,,1.21,,True,False,,,43006.0,2.06,Success!
2021-02-03,2021/02/03 17:11:34America/Los Angeles TZ,NewYork,2021-02-02,1433304.0,35631.0,,7381.0,,23.28,False,False,,31705.0,,,Success!
2021-02-03,2021/02/03 17:11:34America/Los Angeles TZ,North Carolina,,,,,,,,False,False,,,2179622.0,21.46,An error occurred. ... AssertionError('No date found')
